Record_ID,Calling_Agents,Calling_Agents_Description
710,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233374;FBDM/%7Bdensity=2.0,width=720,height=1456%7D;FBLC/en_US;FBRV/293205014;FBCR/five;FBMF/realme;FBBD/realme;FBPN/com.facebook.katana;FBDV/RMX2189;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on ARM 64
711,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233374;FBDM/%7Bdensity=2.0,width=720,height=1470%7D;FBLC/en_US;FBRV/293803405;FBCR/Robi;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/V2027;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Vivo
712,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=2.625,width=1080,height=2186%7D;FBLC/en_GB;FBRV/293087090;FBCR/FRiENDi%20mobile;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A515F;FBSV/11;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 319 on Samsung SM-A515F
713,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=2.75,width=1080,height=2131%7D;FBLC/en_GB;FBRV/293913898;FBCR/Banglalink;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%207%20Pro;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Redmi
714,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=2.75,width=1080,height=2131%7D;FBLC/en_US;FBRV/292715821;FBCR/Jio%204G;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%207%20Pro;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Redmi
715,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=2.75,width=1080,height=2131%7D;FBLC/en_US;FBRV/293750037;FBCR/airtel;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%207%20Pro;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Redmi
716,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=2.75,width=1080,height=2168%7D;FBLC/en_GB;FBRV/293913898;FBCR/Banglalink;FBMF/Xiaomi;FBBD/Redmi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%209S;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Redmi
717,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=2.75,width=1080,height=2168%7D;FBLC/en_US;FBRV/0;FBCR/Vodafone%20IN;FBMF/Xiaomi;FBBD/POCO;FBPN/com.facebook.katana;FBDV/POCO%20M2%20Pro;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on ARM 64
718,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=2.75,width=1080,height=2208%7D;FBLC/en_US;FBRV/293535360;FBCR/Banglalink;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/V2025;FBSV/11;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Vivo
719,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=2.8125,width=1080,height=2189%7D;FBLC/en_GB;FBRV/0;FBCR/JIO%204G;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A707F;FBSV/11;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 319 on Samsung SM-A707F
720,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=3.0,width=1080,height=2043%7D;FBLC/en_US;FBRV/293768997;FBCR/Grameenphone;FBMF/Xiaomi;FBBD/xiaomi;FBPN/com.facebook.katana;FBDV/Mi%20A2%20Lite;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on ARM 64
721,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=3.0,width=1080,height=2076%7D;FBLC/en_US;FBRV/293055154;FBCR/T-Mobile;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-G960U;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Samsung SM-G960U
722,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=3.0,width=1080,height=2105%7D;FBLC/en_GB;FBRV/293951975;FBCR/Grameenphone;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-N986B;FBSV/11;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Samsung SM-N986B
723,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=3.0,width=1080,height=2130%7D;FBLC/en_US;FBRV/0;FBCR/Robi;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201915;FBSV/11;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Vivo
724,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=3.0,width=1080,height=2130%7D;FBLC/en_US;FBRV/0;FBCR/stc;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201915;FBSV/11;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Vivo
725,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=3.0,width=1080,height=2130%7D;FBLC/en_US;FBRV/293453779;FBCR/stc;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201915;FBSV/11;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Vivo
726,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=3.0,width=1080,height=2153%7D;FBLC/en_US;FBRV/293494611;FBCR/Grameenphone;FBMF/realme;FBBD/realme;FBPN/com.facebook.katana;FBDV/RMX2001;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on ARM 64
727,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=3.0,width=1080,height=2274%7D;FBLC/en_US;FBRV/293453779;FBCR/Jio%204G;FBMF/vivo;FBBD/vivo;FBPN/com.facebook.katana;FBDV/vivo%201909;FBSV/10;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 319 on Vivo
728,"%5BFBAN/FB4A;FBAV/319.0.0.39.120;FBBV/292233375;FBDM/%7Bdensity=3.375,width=1080,height=2206%7D;FBLC/en_GB;FBRV/0;FBCR/JIO%204G;FBMF/samsung;FBBD/samsung;FBPN/com.facebook.katana;FBDV/SM-A305F;FBSV/11;FBOP/19;FBCA/arm64-v8a:;%5D",Facebook App 319 on Samsung SM-A305F
729,"%5BFBAN/FB4A;FBAV/320.0.0.4.118;FBBV/292538989;FBDM/%7Bdensity=2.75,width=1080,height=2168%7D;FBLC/en_GB;FBRV/0;FBCR/etisalat;FBMF/Xiaomi;FBBD/Redmi;FBPN/com.facebook.katana;FBDV/Redmi%20Note%209%20Pro;FBSV/11;FBOP/1;FBCA/arm64-v8a:;%5D",Facebook App 320 on Redmi
730,"%5BHybrid%20Advertising%5D%20Mozilla/5.0%20(Macintosh;%20Intel%20Mac%20OS%20X%2010_9_3)%20AppleWebKit/537.36%20(KHTML,%20like%20Gecko)%20Chrome/35.0.1916.47%20Safari/537.36",Chrome 35 on Mac
731,()%20%7B%20:;%20%7D;%20echo;%20echo;%20/bin/bash%20-c%20%27cat%20/etc/passwd;%27,Unknown
732,(Windows%20NT%2010.1;%20Win64;%20x64;%20rv:52.0)%20Webkit/345533%20Safari/52.0,Safari on Windows
733,"24.0.1284.0.0%20(Windows%20NT%205.1)%20AppleWebKit/534.0%20(KHTML,%20like%20Gecko)%20Chrome/24.0.1284.0.3.742.3%20Safari/534.3",Chrome 24 on Windows
734,"24.0.1284.0.0%20(Windows%20NT%206.2%20)%20AppleWebKit/534.7%20(KHTML,%20like%20Gecko)%20Chrome/24.0.1284.0.6.742.0%20Safari/534.3",Chrome 24 on Windows
735,"24.0.1312.60.0%20(Windows%20NT%206.1)%20AppleWebKit/534.2%20(KHTML,%20like%20Gecko)%20Chrome/24.0.1312.60.2.742.6%20Safari/534.6",Chrome 24 on Windows
736,3.Opera/9.80%20(Windows%20NT%206.2;%20Win64;%20x64)%20Presto/2.12.388%20Version/12.15,Opera 12 on Windows
737,"51.0.2704.84%20(Windows%20NT%2010.0.10240)%20AppleWebKit/534.1%20(KHTML,%20like%20Gecko)%20Chrome/51.0.2704.84%20Safari/534.3",Chrome 51 on Windows
738,AdsBot-Google%20(+http://www.google.com/adsbot.html),Google AdsBot
739,AdsTxtCrawler/1.0.2,Unknown
740,AdsTxtCrawler/1.0;%20+https://github.com/InteractiveAdvertisingBureau/adstxtcrawler,Unknown
741,AHC/1.0,AsyncHttpClient 1.0
742,AHC/2.0,AsyncHttpClient 2.0
743,AHC/2.1,AsyncHttpClient 2.1
744,Aloha/3%20CFNetwork/978.0.7%20Darwin/18.7.0,Unknown browser on macOS
745,Amazon%20CloudFront,Unknown
746,Amazon-Advertising-ad-standards-bot/1.0,Unknown
747,Android,Android Browser on Android
748,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%202039%20Build/QP1A.190711.020),Android Download Manager 10 on Android
749,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20BKL-L09%20Build/HUAWEIBKL-L09S),Android Download Manager 10 on Android
750,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH1819%20Build/QP1A.190711.020),Android Download Manager 10 on Android
751,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH1823%20Build/QP1A.190711.020),Android Download Manager 10 on Android
752,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH1881%20Build/QP1A.190711.020),Android Download Manager 10 on Android
753,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH1911%20Build/QP1A.190711.020),Android Download Manager 10 on Android
754,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH1931%20Build/QKQ1.200209.002),Android Download Manager 10 on Android
755,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH1933%20Build/QKQ1.200209.002),Android Download Manager 10 on Android
756,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH1937%20Build/QKQ1.200209.002),Android Download Manager 10 on Android
757,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH1969%20Build/QP1A.190711.020),Android Download Manager 10 on Android
758,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH1989%20Build/QP1A.190711.020),Android Download Manager 10 on Android
759,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH2035%20Build/QP1A.190711.020),Android Download Manager 10 on Android
760,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH2059%20Build/QKQ1.200114.002),Android Download Manager 10 on Android
761,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH2061%20Build/QKQ1.200114.002),Android Download Manager 10 on Android
762,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH2095%20Build/QKQ1.200614.002),Android Download Manager 10 on Android
763,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH2127%20Build/QKQ1.200614.002),Android Download Manager 10 on Android
764,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH2131%20Build/QKQ1.200614.002),Android Download Manager 10 on Android
765,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH2137%20Build/QKQ1.200614.002),Android Download Manager 10 on Android
766,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH2179%20Build/QP1A.190711.020),Android Download Manager 10 on Android
767,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH2185%20Build/QP1A.190711.020),Android Download Manager 10 on Android
768,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20CPH2239%20Build/QP1A.190711.020),Android Download Manager 10 on Android
769,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20dandelion%20Build/QP1A.190711.020),Android Download Manager 10 on Android
770,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20HRY-AL00%20Build/HONORHRY-AL00),Android Download Manager 10 on Android
771,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20HRY-LX1MEB%20Build/HONORHRY-LX1MEB),Android Download Manager 10 on Android
772,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20i99%20Build/QP1A.190711.020),Android Download Manager 10 on Android
773,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Infinix%20X655C%20Build/QP1A.190711.020),Android Download Manager 10 on Android
774,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Infinix%20X655D%20Build/QP1A.190711.020),Android Download Manager 10 on Android
775,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Infinix%20X680B%20Build/QP1A.190711.020),Android Download Manager 10 on Android
776,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Infinix%20X682C%20Build/QP1A.190711.020),Android Download Manager 10 on Android
777,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Infinix%20X683%20Build/QP1A.190711.020),Android Download Manager 10 on Android
778,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20LM-K315IM%20Build/QP1A.190711.020),Android Download Manager 10 on Android
779,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2003J15SC%20Build/QP1A.190711.020),Android Download Manager 10 on Android
780,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2004J19C%20Build/QP1A.190711.020),Android Download Manager 10 on Android
781,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2004J19PI%20Build/QP1A.190711.020),Android Download Manager 10 on Android
782,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2006C3LG%20Build/QP1A.190711.020),Android Download Manager 10 on Android
783,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2006C3LI%20Build/QP1A.190711.020),Android Download Manager 10 on Android
784,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2006C3LII%20Build/QP1A.190711.020),Android Download Manager 10 on Android
785,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2006C3LVG%20Build/QP1A.190711.020),Android Download Manager 10 on Android
786,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2006C3MG%20Build/QP1A.190711.020),Android Download Manager 10 on Android
787,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2006C3MI%20Build/QP1A.190711.020),Android Download Manager 10 on Android
788,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2006C3MII%20Build/QP1A.190711.020),Android Download Manager 10 on Android
789,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2007J20CG%20Build/QKQ1.200512.002),Android Download Manager 10 on Android
790,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2007J20CI%20Build/QKQ1.200512.002),Android Download Manager 10 on Android
791,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2010J19CG%20Build/QKQ1.200830.002),Android Download Manager 10 on Android
792,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2010J19CI%20Build/QKQ1.200830.002),Android Download Manager 10 on Android
793,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2010J19SG%20Build/QKQ1.200830.002),Android Download Manager 10 on Android
794,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20M2010J19SI%20Build/QKQ1.200830.002),Android Download Manager 10 on Android
795,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20MAR-LX1A%20Build/HUAWEIMAR-L21MEB),Android Download Manager 10 on Android
796,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20MAR-LX2%20Build/HUAWEIMAR-L22B),Android Download Manager 10 on Android
797,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Mi%20A2%20Lite%20Build/QKQ1.191002.002),Android Download Manager 10 on Android
798,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20MI%20A3%20Build/QKQ1.190910.002),Android Download Manager 10 on Android
799,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Mi%20A3%20Build/QKQ1.190910.002),Android Download Manager 10 on Android
800,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20moto%20e(7)%20plus%20Build/QPZ30.30-Q3-38-42),Android Download Manager 10 on Android
801,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20moto%20g%205G%20Build/QZK30.Q4-40-81-3),Android Download Manager 10 on Android
802,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20moto%20g(9)%20Build/QPX30.30-Q3-38-69),Android Download Manager 10 on Android
803,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20motorola%20one%20fusion+%20Build/QPIS30.73-33-6),Android Download Manager 10 on Android
804,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Nokia%202.2%20Build/QP1A.190711.020),Nokia Browser on Android
805,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Nokia%202.3%20Build/QP1A.190711.020),Nokia Browser on Android
806,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Nokia%203.1%20Build/QP1A.190711.020),Nokia Browser on Android
807,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Nokia%203.1%20Plus%20Build/QP1A.190711.020),Nokia Browser on Android
808,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Nokia%203.2%20Build/QKQ1.191008.001),Nokia Browser on Android
809,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Nokia%205.1%20Plus%20Build/QP1A.190711.020),Nokia Browser on Android
810,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Nokia%206.1%20Build/QKQ1.190828.002),Nokia Browser on Android
811,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Nokia%206.1%20Plus%20Build/QKQ1.190828.002),Nokia Browser on Android
812,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Nokia%207%20plus%20Build/QKQ1.190828.002),Nokia Browser on Android
813,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Nokia%207.2%20Build/QKQ1.191014.001),Nokia Browser on Android
814,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20POCO%20F1%20Build/QKQ1.190828.002),Android Download Manager 10 on Android
815,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20POCO%20M2%20Pro%20Build/QKQ1.191215.002),Android Download Manager 10 on Android
816,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20POCO%20X2%20Build/QKQ1.190825.002),Android Download Manager 10 on Android
817,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Primo%20GH9%20Build/QP1A.190711.020),Android Download Manager 10 on Android
818,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Primo%20H9%20Pro%20Build/QP1A.190711.020),Android Download Manager 10 on Android
819,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Primo%20HM5%20Build/QP1A.190711.020),Android Download Manager 10 on Android
820,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Primo%20RM4%20Build/QP1A.190711.020),Android Download Manager 10 on Android
821,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%207%20Build/QKQ1.191008.001),Android Download Manager 10 on Android
822,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%207A%20Build/QKQ1.191014.001),Android Download Manager 10 on Android
823,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%208%20Build/QKQ1.191014.001),Android Download Manager 10 on Android
824,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%208A%20Build/QKQ1.191014.001),Android Download Manager 10 on Android
825,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%208A%20Dual%20Build/QKQ1.191014.001),Android Download Manager 10 on Android
826,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%20K30%20Build/QKQ1.190825.002),Android Download Manager 10 on Android
827,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%20Note%207%20Build/QKQ1.190910.002),Android Download Manager 10 on Android
828,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%20Note%207%20Pro%20Build/QKQ1.190915.002),Android Download Manager 10 on Android
829,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%20Note%207S%20Build/QKQ1.190910.002),Android Download Manager 10 on Android
830,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%20Note%208%20Build/QKQ1.200114.002),Android Download Manager 10 on Android
831,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%20Note%208%20Pro%20Build/QP1A.190711.020),Android Download Manager 10 on Android
832,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%20Note%208T%20Build/QKQ1.200114.002),Android Download Manager 10 on Android
833,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%20Note%209%20Pro%20Build/QKQ1.191215.002),Android Download Manager 10 on Android
834,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%20Note%209%20Pro%20Max%20Build/QKQ1.191215.002),Android Download Manager 10 on Android
835,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%20Note%209S%20Build/QKQ1.191215.002),Android Download Manager 10 on Android
836,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20Redmi%20Y3%20Build/QKQ1.191008.001),Android Download Manager 10 on Android
837,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX1801%20Build/QKQ1.191014.001),Android Download Manager 10 on Android
838,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX1825%20Build/QP1A.190711.020),Android Download Manager 10 on Android
839,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX1827%20Build/QP1A.190711.020),Android Download Manager 10 on Android
840,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX1851%20Build/QKQ1.190918.001),Android Download Manager 10 on Android
841,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX1901%20Build/QKQ1.190918.001),Android Download Manager 10 on Android
842,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX1911%20Build/QKQ1.200209.002),Android Download Manager 10 on Android
843,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX1921%20Build/QKQ1.190918.001),Android Download Manager 10 on Android
844,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX1925%20Build/QKQ1.200209.002),Android Download Manager 10 on Android
845,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX1971%20Build/QKQ1.190918.001),Android Download Manager 10 on Android
846,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX1991%20Build/QKQ1.191201.002),Android Download Manager 10 on Android
847,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX1992%20Build/QKQ1.191201.002),Android Download Manager 10 on Android
848,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2001%20Build/QP1A.190711.020),Android Download Manager 10 on Android
849,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2002%20Build/QP1A.190711.020),Android Download Manager 10 on Android
850,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2020%20Build/QP1A.190711.020),Android Download Manager 10 on Android
851,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2027%20Build/QP1A.190711.020),Android Download Manager 10 on Android
852,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2030%20Build/QKQ1.200209.002),Android Download Manager 10 on Android
853,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2040%20Build/QP1A.190711.020),Android Download Manager 10 on Android
854,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2050%20Build/QKQ1.200209.002),Android Download Manager 10 on Android
855,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2061%20Build/QKQ1.191222.002),Android Download Manager 10 on Android
856,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2101%20Build/QKQ1.200614.002),Android Download Manager 10 on Android
857,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2103%20Build/QKQ1.200614.002),Android Download Manager 10 on Android
858,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2151%20Build/QP1A.190711.020),Android Download Manager 10 on Android
859,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2170%20Build/QKQ1.200428.002),Android Download Manager 10 on Android
860,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2180%20Build/QP1A.190711.020),Android Download Manager 10 on Android
861,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2185%20Build/QP1A.190711.020),Android Download Manager 10 on Android
862,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2189%20Build/QP1A.190711.020),Android Download Manager 10 on Android
863,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2193%20Build/QP1A.190711.020),Android Download Manager 10 on Android
864,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX2195%20Build/QKQ1.200614.002),Android Download Manager 10 on Android
865,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20RMX3171%20Build/QP1A.190711.020),Android Download Manager 10 on Android
866,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20SM-A015G%20Build/QP1A.190711.020),Android Download Manager 10 on Android
867,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20SM-A025F%20Build/QP1A.190711.020),Android Download Manager 10 on Android
868,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20SM-A105F%20Build/QP1A.190711.020),Android Download Manager 10 on Android
869,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20SM-A105G%20Build/QP1A.190711.020),Android Download Manager 10 on Android
870,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20SM-A107F%20Build/QP1A.190711.020),Android Download Manager 10 on Android
871,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20SM-A115F%20Build/QP1A.190711.020),Android Download Manager 10 on Android
872,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20SM-A125F%20Build/QP1A.190711.020),Android Download Manager 10 on Android
873,AndroidDownloadManager/10%20(Linux;%20U;%20Android%2010;%20SM-A205F%20Build/QP1A.190711.020),Android Download Manager 10 on Android
